irn,RG Number,Record on the Internet,Record on the Intranet,Has Transcript?
502715,RG-02.017,Yes,Yes,No
500619,RG-10.306,Yes,Yes,No
41542,RG-10.517,No,Yes,No
538971,RG-50.001.0001,Yes,Yes,No
505480,RG-50.002.0001,Yes,Yes,No
505485,RG-50.002.0002,Yes,Yes,No
504470,RG-50.002.0003,Yes,Yes,No
504512,RG-50.002.0004,Yes,Yes,No
504513,RG-50.002.0005,Yes,Yes,No
504514,RG-50.002.0006,Yes,Yes,No
504515,RG-50.002.0007,Yes,Yes,No
504517,RG-50.002.0008,Yes,Yes,No
504777,RG-50.002.0009,Yes,Yes,No
504519,RG-50.002.0010,Yes,Yes,No
504518,RG-50.002.0011,Yes,Yes,No
504516,RG-50.002.0012,Yes,Yes,No
504655,RG-50.002.0013,Yes,Yes,No
504778,RG-50.002.0014,Yes,Yes,No
504520,RG-50.002.0015,Yes,Yes,Yes
505493,RG-50.002.0016,Yes,Yes,No
505481,RG-50.002.0017,Yes,Yes,No
505482,RG-50.002.0018,Yes,Yes,No
505486,RG-50.002.0019,Yes,Yes,No
505483,RG-50.002.0020,Yes,Yes,No
504779,RG-50.002.0021,Yes,Yes,No
504780,RG-50.002.0022,Yes,Yes,No
502781,RG-50.002.0023,Yes,Yes,No
504878,RG-50.002.0024,Yes,Yes,No
504882,RG-50.002.0025,Yes,Yes,No
505487,RG-50.002.0026,Yes,Yes,No
504781,RG-50.002.0027,Yes,Yes,No
504656,RG-50.002.0028,Yes,Yes,No
504783,RG-50.002.0029,Yes,Yes,No
504657,RG-50.002.0030,Yes,Yes,No
504880,RG-50.002.0031,Yes,Yes,No
504938,RG-50.002.0032,Yes,Yes,No
504775,RG-50.002.0033,Yes,Yes,No
504782,RG-50.002.0034,Yes,Yes,No
504785,RG-50.002.0035,Yes,Yes,No
505494,RG-50.002.0036,Yes,Yes,No
505495,RG-50.002.0037,Yes,Yes,No
505496,RG-50.002.0038,Yes,Yes,No
505552,RG-50.002.0039,Yes,Yes,No
505497,RG-50.002.0040,Yes,Yes,No
505488,RG-50.002.0041,Yes,Yes,No
505554,RG-50.002.0042,Yes,Yes,No
